feature,mean_abs_shap
RevolvingUtilizationOfUnsecuredLines,0.08184489392261213
log_RevolvingUtilizationOfUnsecuredLines,0.07246837532847447
total_delinquency_score,0.07114326289642925
age,0.029019532556254408
flag_90dpd,0.02568287120953251
flag_30dpd,0.022301476571191123
NumberOfTime30-59DaysPastDueNotWorse,0.021932730046825555
NumberOfTimes90DaysLate,0.02166580053437432
NumberOfOpenCreditLinesAndLoans,0.01790774870385956
log_MonthlyIncome,0.012814959488425388
NumberOfTime60-89DaysPastDueNotWorse,0.012747547228839542
flag_60dpd,0.01078981664829999
NumberRealEstateLoansOrLines,0.009505522071697393
DebtRatio,0.009178592520088685
log_DebtRatio,0.008924005457201203
MonthlyIncome,0.005063510279388062
NumberOfDependents,0.0030596864628405196
unemployment_rate,0.0
gdp,0.0
fed_funds_rate,0.0
credit_card_delinq_rate,0.0
